Wall time,Step,Value
1699912365.9299846,1,0.3181999921798706
1699912371.8102655,2,0.3407999873161316
1699912377.594479,3,0.34950000047683716
1699912383.4418464,4,0.3571999967098236
1699912389.4260395,5,0.3666999936103821
1699912395.2893903,6,0.3698999881744385
1699912401.2148306,7,0.3765999972820282
1699912407.0741663,8,0.37619999051094055
1699912412.861751,9,0.38040000200271606
1699912418.7410343,10,0.3822000026702881
1699912424.642257,11,0.38429999351501465
1699912430.8955398,12,0.39089998602867126
1699912436.779014,13,0.39239999651908875
1699912442.6035073,14,0.39419999718666077
1699912448.4638414,15,0.39629998803138733
1699912454.436872,16,0.39809998869895935
1699912460.3899636,17,0.39980000257492065
1699912466.2937193,18,0.4004000127315521
1699912472.231844,19,0.4018000066280365
1699912478.2417798,20,0.4032999873161316
1699912484.0355315,21,0.40389999747276306
1699912490.1302385,22,0.40619999170303345
1699912496.010518,23,0.4068000018596649
1699912502.2149315,24,0.4081999957561493
1699912508.2558591,25,0.41110000014305115
1699912514.0872693,26,0.412200003862381
1699912520.1580398,27,0.4124999940395355
1699912526.0293436,28,0.4115000069141388
1699912532.0063245,29,0.41499999165534973
1699912537.81841,30,0.4174000024795532
1699912543.7595272,31,0.41519999504089355
1699912549.6647396,32,0.4185999929904938
1699912555.5440228,33,0.41749998927116394
1699912561.4566803,34,0.42289999127388
1699912567.2927241,35,0.4239000082015991
1699912573.0120249,36,0.4250999987125397
1699912578.7389493,37,0.4253000020980835
1699912584.501544,38,0.42480000853538513
1699912590.418726,39,0.42559999227523804
1699912596.3658261,40,0.4260999858379364
1699912602.3766184,41,0.4287000000476837
1699912608.0863445,42,0.4278999865055084
1699912613.7182882,43,0.42719998955726624
1699912619.4958425,44,0.42820000648498535
1699912625.2739763,45,0.4307999908924103
1699912631.190168,46,0.4302999973297119
1699912637.0834055,47,0.4325999915599823
1699912642.9387727,48,0.43320000171661377
1699912648.7862947,49,0.43380001187324524
1699912654.6928372,50,0.43549999594688416
