Wall time,Step,Value
1699910587.2160285,1,0.3797999918460846
1699910592.6794176,2,0.4083000123500824
1699910598.2206037,3,0.42239999771118164
1699910603.8016846,4,0.430400013923645
1699910609.6070316,5,0.435699999332428
1699910615.1772084,6,0.44020000100135803
1699910620.720183,7,0.4537999927997589
1699910626.2258437,8,0.4523000121116638
1699910631.7959528,9,0.4514999985694885
1699910637.292277,10,0.46880000829696655
1699910642.8673728,11,0.47029998898506165
1699910649.2983873,12,0.4643000066280365
1699910655.4320185,13,0.47189998626708984
1699910661.5167687,14,0.47769999504089355
1699910667.3950546,15,0.4821999967098236
1699910673.3262143,16,0.48089998960494995
1699910679.512661,17,0.4867999851703644
1699910685.8567026,18,0.4814000129699707
1699910691.7668989,19,0.4927000105381012
1699910697.531488,20,0.4927999973297119
1699910703.080654,21,0.4973999857902527
1699910708.7290583,22,0.49239999055862427
1699910714.3221052,23,0.49239999055862427
1699910720.1157527,24,0.4961000084877014
1699910726.0436022,25,0.5012000203132629
1699910731.9528046,26,0.5011000037193298
1699910737.8330567,27,0.5059000253677368
1699910743.6070414,28,0.5042999982833862
1699910749.45042,29,0.5047000050544739
1699910755.307702,30,0.5113000273704529
1699910761.1200898,31,0.5054000020027161
1699910766.9674575,32,0.5070000290870667
1699910772.6761947,33,0.5110999941825867
1699910778.537525,34,0.5063999891281128
1699910784.342428,35,0.511900007724762
1699910790.51393,36,0.5134000182151794
1699910796.4749942,37,0.5160999894142151
1699910802.4427545,38,0.5152000188827515
1699910808.5035515,39,0.5202999711036682
1699910814.2920766,40,0.5152999758720398
1699910820.1784773,41,0.5174000263214111
1699910826.1311617,42,0.5192999839782715
1699910832.087129,43,0.5203999876976013
1699910838.1429389,44,0.5217999815940857
1699910844.003542,45,0.5234000086784363
1699910849.9306977,46,0.5194000005722046
1699910855.6893027,47,0.525600016117096
1699910861.488113,48,0.519599974155426
1699910867.3464592,49,0.5234000086784363
1699910873.1349747,50,0.5232999920845032
